document_name,page_number,detection_type
F1964040.json,1,Deux Colonnes
F1964040.json,3,Deux Colonnes
F1964040.json,9,Deux Colonnes
F1964040.json,14,Deux Colonnes
F1964041.json,5,Ligne Horizontale (3+ layouts)
F1964041.json,6,Ligne Horizontale (3+ layouts)
F1964042.json,14,Deux Colonnes
F1964042.json,15,Deux Colonnes
F1964044.json,2,Deux Colonnes
F1964044.json,3,Deux Colonnes
F1964044.json,6,Deux Colonnes
F1964045.json,2,Deux Colonnes
F1964047.json,2,Deux Colonnes
F1964047.json,3,Deux Colonnes
F1964047.json,7,Deux Colonnes
F1964048.json,4,Deux Colonnes
F1964048.json,6,Deux Colonnes
F1964048.json,7,Deux Colonnes
F1964048.json,8,Deux Colonnes
F1964049.json,14,Deux Colonnes
F1964049.json,16,Deux Colonnes
F1964049.json,23,Deux Colonnes
F1964050.json,5,Deux Colonnes
F1964050.json,6,Deux Colonnes
F1964050.json,11,Deux Colonnes
F1964050.json,14,Deux Colonnes
F1964051.json,3,Deux Colonnes
F1964051.json,6,Deux Colonnes
F1964051.json,12,Deux Colonnes
F1964051.json,13,Deux Colonnes
F1964052.json,2,Deux Colonnes
F1964052.json,4,Deux Colonnes
F1964052.json,11,Deux Colonnes
F1964052.json,13,Deux Colonnes
F1964053.json,6,Deux Colonnes
F1964053.json,7,Deux Colonnes
F1964054.json,4,Deux Colonnes
F1964054.json,5,Deux Colonnes
F1964054.json,6,Deux Colonnes
F1964056.json,13,Deux Colonnes
F1964056.json,15,Deux Colonnes
F1964058.json,4,Deux Colonnes
F1964059.json,2,Deux Colonnes
F1964059.json,3,Deux Colonnes
F1964059.json,4,Deux Colonnes
F1964059.json,5,Deux Colonnes
F1964060.json,11,Deux Colonnes
F1964060.json,12,Deux Colonnes
F1964062.json,3,Deux Colonnes
F1964063.json,2,Deux Colonnes
F1964063.json,7,Deux Colonnes
F1964063.json,8,Deux Colonnes
F1964063.json,15,Ligne Horizontale (3+ layouts)
F1964063.json,17,Deux Colonnes
F1964063.json,18,Deux Colonnes
F1964064.json,3,Deux Colonnes
F1964064.json,5,Deux Colonnes
F1964064.json,6,Deux Colonnes
F1964065.json,5,Deux Colonnes
F1964065.json,7,Deux Colonnes
F1964065.json,8,Deux Colonnes
F1964065.json,9,Deux Colonnes
F1964066.json,8,Deux Colonnes
F1964066.json,10,Ligne Horizontale (3+ layouts)
F1964068.json,6,Deux Colonnes
F1964068.json,7,Deux Colonnes
F1964068.json,10,Deux Colonnes
F1964068.json,13,Deux Colonnes soft
F1964068.json,14,Deux Colonnes soft
F1964068.json,15,Ligne Horizontale (3+ layouts)
F1964068.json,18,Deux Colonnes soft
F1964068.json,19,Deux Colonnes soft
F1964070.json,6,Deux Colonnes
F1964071.json,6,Deux Colonnes
F1964072.json,13,Deux Colonnes
F1964072.json,20,Deux Colonnes
F1964073.json,8,Deux Colonnes
F1964073.json,10,Deux Colonnes
F1964074.json,6,Deux Colonnes
F1964074.json,15,Deux Colonnes
F1964074.json,18,Deux Colonnes
F1964074.json,21,Deux Colonnes
F1964074.json,22,Deux Colonnes
F1964075.json,5,Deux Colonnes
F1964076.json,3,Deux Colonnes
F1964077.json,1,Deux Colonnes
F1964077.json,2,Deux Colonnes
F1964077.json,5,Deux Colonnes
F1964077.json,7,Deux Colonnes
F1964077.json,10,Deux Colonnes
F1964078.json,8,Deux Colonnes
F1964078.json,9,Deux Colonnes
F1964079.json,3,Deux Colonnes
F1964079.json,4,Deux Colonnes
F1964079.json,5,Deux Colonnes soft
F1964079.json,9,Deux Colonnes
F1964080.json,7,Deux Colonnes
F1964081.json,1,Deux Colonnes
F1964081.json,2,Deux Colonnes
F1964081.json,5,Deux Colonnes
F1964082.json,2,Deux Colonnes
F1964082.json,3,Deux Colonnes
F1964082.json,4,Deux Colonnes
F1964082.json,7,Deux Colonnes
F1964082.json,9,Deux Colonnes
F1964083.json,5,Deux Colonnes
F1964084.json,2,Deux Colonnes
F1964085.json,2,Deux Colonnes
F1964085.json,6,Deux Colonnes
F1964085.json,11,Deux Colonnes
F1964085.json,12,Deux Colonnes
F1964085.json,14,Deux Colonnes
F1964085.json,15,Deux Colonnes
F1964086.json,1,Deux Colonnes
F1964086.json,4,Deux Colonnes
F1964086.json,5,Deux Colonnes
F1964088.json,3,Deux Colonnes
F1964088.json,5,Deux Colonnes
F1964088.json,21,Deux Colonnes
F1964089.json,2,Deux Colonnes
F1964090.json,1,Deux Colonnes
F1964090.json,4,Deux Colonnes
F1964090.json,6,Deux Colonnes soft
F1964090.json,7,Deux Colonnes
F1964091.json,1,Deux Colonnes
F1964092.json,10,Deux Colonnes soft
F1964093.json,1,Deux Colonnes
F1964093.json,2,Deux Colonnes
F1964093.json,3,Deux Colonnes
F1964094.json,6,Deux Colonnes
F1964095.json,5,Deux Colonnes
F1964096.json,3,Deux Colonnes
F1964097.json,1,Deux Colonnes
F1964097.json,6,Deux Colonnes
F1964097.json,7,Deux Colonnes
F1964098.json,1,Deux Colonnes soft
F1964099.json,1,Deux Colonnes
F1964099.json,2,Deux Colonnes
F1964100.json,6,Deux Colonnes
F1964102.json,2,Deux Colonnes
F1964102.json,5,Deux Colonnes soft
F1964103.json,1,Deux Colonnes
F1964103.json,2,Deux Colonnes
F1964103.json,3,Deux Colonnes
F1964103.json,4,Deux Colonnes
F1964103.json,5,Deux Colonnes
F1964105.json,2,Deux Colonnes
F1964105.json,5,Deux Colonnes
F1964105.json,7,Deux Colonnes
F1964106.json,1,Deux Colonnes
F1964106.json,2,Deux Colonnes
F1964106.json,5,Deux Colonnes
F1964107.json,3,Deux Colonnes
